Eco_Reserve,Location,Transect,Plot,Latitude,Longitude,Elevation,Slope,Aspect,Forest_Type,Harvest_History,Age_DBH,Live_Basal_Area,Live_TPH,Large_Live_TPH,Very_Large_Live_TPH,Standing_Dead_TPH,Large_Standing_Dead_TPH,Very_Large_Standing_Dead_TPH,DCWD_Volume,Large_DCWD_Volume
Deboullie,NA,1,1,46.95287827,-68.87705735,383,12,250,120,5,55,32.1620878,713.8039791,59.48366492,0,118.9673298,0,0,133.5864014,0
Deboullie,NA,1,2,46.9524701,-68.87408823,402,17,287,120,5,75,36.61009625,654.3203142,118.9673298,0,118.9673298,0,0,78.3949688,0
Deboullie,NA,1,3,46.95213351,-68.87082987,429,9,320,120,1,67,11.95990046,356.9019895,9.876194003,9.876194003,59.48366492,0,0,95.53447157,0
Deboullie,NA,1,4,46.95170706,-68.86775575,440,5,9,800,1,82,17.61324263,356.9019895,0,0,178.4509948,0,0,28.83216606,0
Deboullie,NA,1,5,46.95124459,-68.86473434,451,11,64,120,5,75,28.27862402,545.2291783,9.876194003,9.876194003,59.48366492,0,0,16.56389039,0
Rocky Lake,NA,3,1,44.82815415,-67.51249709,14,3,105,120,1,65,21.2572748,654.3203142,0,0,535.3529843,0,0,4.982913086,0
Rocky Lake,NA,3,2,44.82611012,-67.51176539,15,0,0,960,1,NA,6.003309412,118.9673298,0,0,0,0,0,0,0
Rocky Lake,NA,3,3,44.82399054,-67.51145311,15,0,0,960,0,NA,0,0,0,0,0,0,0,0,0
Rocky Lake,NA,3,4,44.82180417,-67.51085165,15,0,0,120,1,62,20.411252,297.4183246,59.48366492,0,118.9673298,0,0,22.44029134,0
Deboullie,NA,5,1,46.94862961,-68.88454424,479,41,293,120,1,NA,25.50906614,1011.222304,0,0,59.48366492,0,0,13.74596713,0
Deboullie,NA,5,2,46.94681001,-68.88273477,525,10,303,120,1,NA,26.79298014,1011.222304,0,0,118.9673298,0,0,22.13100708,0
Deboullie,NA,5,3,46.94490953,-68.88107014,496,50,160,120,0,NA,30.70148495,247.8108537,69.35985893,9.876194003,237.9346597,59.48366492,0,235.4340521,54.98386853
